sample,texture,pH,resistance,ambic_p,K,ec_Na,ec_K,ec_Ca,ec_Mg,bs_Na,bs_K,bs_Ca,bs_Mg,carbon,s_value,r_eksteen,r_observed,ta_eksteen,ta_true
1,Loam,4.41,1808.1087687836473,18.249821,134.652529,0.1051844347826087,0.34526289487179485,1.5040231750000002,0.45247385,4.370040153990655,14.344448562101,62.48682783594938,18.79868344795896,0.7394366197183098,2.406944354654404,1.7214612058621697,1.2190012616822432,1.1365327422642186,1.605
2,Loam,4.89,2158.6727743397414,11.0844,58.376924,0.09209444782608696,0.14968442051282052,1.60169994,0.8750030416666666,3.3877161190499807,5.506176931529398,58.918912406816915,32.18719454260371,0.6408450704225352,2.718481850005574,4.055555915621994,2.5402081863247865,0.6106938316708718,0.975
3,Loam,4.12,2362.6912195878535,11.814932,67.368057,0.08057107826086957,0.17273860769230767,1.075584985,0.582162775,4.216046902801667,9.038901894764912,56.28219011823221,30.462861084201215,0.7676056338028168,1.911057445953177,1.1758698117121185,1.0558902929936305,1.4098055273536156,1.57
4,Loam,3.92,2362.6912195878535,22.510775,106.744109,0.06419033478260869,0.27370284358974356,0.342092405,0.2430769,6.954061717262437,29.651605229343417,37.06059028097278,26.33374277242137,0.5,0.9230624833723522,1.0843997368318696,0.35464806363636364,0.5396250894615694,1.65
5,Loam,5.07,1978.9950393808876,9.761629,35.824897,0.09914975217391306,0.09185871025641024,3.189470295,0.47512,2.183627258666326,2.023052799062918,70.24338562795687,10.463818218302254,0.5,3.855598757430323,5.421965407541734,5.349766854014598,0.6758785826819742,0.685
6,Loam,5.07,1860.6720683219528,17.006359,52.716649,0.10433641739130436,0.13517089487179487,3.175415075,0.5005911833333333,2.187110797344608,2.83346631073298,66.56337998013481,10.493444278594662,0.6449275362318838,3.915513570596433,5.421965407541734,4.299422524366472,0.6779840854794386,0.855
7,Loam,4.97,1724.8373089417798,27.986947,95.368351,0.0974050608695652,0.24453423333333335,2.88415787,0.6784148583333334,2.035841072417905,5.1109545170231945,60.28112911859987,14.1793949965604,0.7463768115942029,3.904512022536232,4.630923456101868,4.048378100378788,0.7693007155277338,0.88
8,Loam,4.55,2199.981427437884,20.936993,53.394476,0.08897305217391305,0.13690891282051282,2.23905761,0.6483614083333333,2.163057178031541,3.328443830768499,54.43456773709151,15.762556908947456,0.5,3.1133009833277594,2.205628413750105,2.8874190183333335,1.309113992335644,1
9,Loam,4.64,1932.3580031949928,11.331211,111.109307,0.1166446304347826,0.284895658974359,2.821667425,1.2338628166666663,2.1433869658378697,5.235060026280839,51.849152062389805,22.672672278335064,0.47101449275362306,4.457070531075807,2.6009514270716636,4.117289585448392,1.5592487423852706,0.985
10,Loam,4.65,2199.981427437884,38.419388,57.72800099999999,0.08281611304347827,0.14802051538461536,2.11845919,0.28815701666666665,2.3345233014568345,4.17258585992339,59.71775492100125,8.122927352717554,0.47101449275362306,2.63745283509476,2.649039963749942,2.644633194139194,0.9084861835228396,0.91
11,Loam,5.43,1575.897564654067,33.872123,207.230026,0.07051205652173914,0.531359041025641,4.541009645,0.7735692083333333,1.1032247309082488,8.313591518500777,71.04819219266936,12.103188075919128,0.7463768115942029,5.916449950880713,8.850604860341832,11.188587059649125,0.6004763445204886,0.475
12,Loam,4.66,1486.0385996802331,35.384405,30.055693,0.12454972173913044,0.0770658794871795,2.514021865,0.5732042833333334,2.7870694179627975,1.7245157426926905,56.256676917407745,12.826685648240208,0.9057971014492754,3.2888417495596434,2.6979671853118816,2.616293346045198,1.1442786128536453,1.18
13,Loam,4.89,2289.205118022539,30.817239,26.7672,0.10577788695652174,0.06863384615384616,3.476476525,0.5460215833333333,2.037359857680201,1.3219383280885575,66.9594933496246,10.516777062937258,1.152173913043478,4.196909841443701,4.055555915621994,4.0427116666666665,0.9918487605703272,0.995
14,Loam,4.84,2046.0161650212317,28.044012,33.875102,0.07934353043478261,0.0868592358974359,2.8947268150000003,0.53002205,1.806978010612012,1.9781414870899576,65.92481671499847,12.07077860338878,0.934782608695652,3.5909516313322185,3.722675699712113,4.28093608125,0.9199697049261764,0.8
15,Loam,5.6,1874.4496253788272,8.302137,62.195895,0.07605339565217391,0.15947665384615384,3.6551280150000007,1.298060725,1.35719507900186,2.845907509581346,65.22682797448557,23.16427311507201,0.818840579710145,5.188718789498329,10.709752319999891,11.93539455421687,0.46249330442032577,0.415
16,Loam,5.52,1847.157043029152,7.390408,101.335967,0.08238673913043479,0.2598358128205128,2.910158185,1.1323755833333335,1.6478150904312543,5.196969535622064,58.20600042432731,22.64861546830242,0.6449275362318838,4.384756320284281,9.821127555072168,6.573225639566396,0.41161605382526045,0.615
17,Loam,5,1533.3313272835435,5.554187,106.55517600000002,0.08542419565217392,0.27321840000000003,2.103116825,1.3167737083333333,1.8416209020556684,5.890189687181464,45.3401272884726,28.387718093571635,0.6304347826086956,3.778533128985507,4.860000000000014,3.976616899224806,0.7036811796982148,0.86
18,Loam,5.41,2011.7737592027845,4.855123,119.43559299999998,0.0869835,0.3062451102564102,3.2498549900000002,0.8192653833333333,1.7250591000957414,6.073461223193411,64.45121114338988,16.247693009738544,0.3985507246376811,4.462348983589744,8.639921338662248,7.0157247816091965,0.4709672940104998,0.58
19,Loam,4.86,2660.8083695451473,10.519512,95.413976,0.06188999130434783,0.24465122051282057,1.553603565,0.4247087666666666,1.940214196691738,7.669669380670747,48.70454219359595,13.31436571858456,0.2971014492753623,2.284853543483835,3.853334928671984,2.185980476979742,0.5134026416822463,0.905
20,Loam,4.86,1963.1233636022296,12.407735,91.54989399999998,0.1080346695652174,0.2347433179487179,3.1505909450000003,0.7239497416666667,2.221875545485989,4.827806108127555,64.79606040077036,14.888981783750868,0.8043478260869565,4.217318674180603,3.853334928671984,6.007039824289406,1.0055032221146665,0.645
21,Loam,4.51,424.2223160156964,52.63120175245249,206.266506,0.484423647826087,0.52888847692307694,7.224118825000001,1.7294551166666667,4.35754801238391,4.757523588560034,64.98329461902195,15.55701035644648,0.5895522388059702,9.966886066415832,2.0513161563419544,7.785716471014494,4.364794726539514,1.15
